,cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
0,3200805,2,3,1555504,1,2,44,1,1.0,2.0,1,2,1.0,3.0,,,,4.0,4.0,1.0,1.0,,2.0,1.0,320.0,1.0,12.0,3840.0,0.0,0.0,0.0,0.0,550045943141072,563276393161791
1,1503903,2,3,2151979,2,2,9,3,4.0,1.0,1,2,1.0,1.0,1.0,5.0,5.0,,,,,,,,,,,,,0.0,0.0,0.0,550378213527258,563260494910599
2,3550308,2,1,5234172,3,2,59,1,1.0,2.0,1,2,1.0,3.0,,,,5.0,5.0,2.0,2.0,2.0,,,0.0,2.0,,,0.0,650.0,0.0,0.0,550244309203512,563276393161791
3,2612208,2,3,2851256,4,2,20,1,4.0,1.0,1,2,1.0,3.0,,,,8.0,3.0,1.0,2.0,2.0,,,0.0,2.0,,,100.0,0.0,0.0,0.0,550169071775261,563276393161791
4,2924009,2,3,1230168,5,2,13,3,4.0,2.0,1,2,1.0,1.0,1.0,5.0,8.0,,,,,,,,,,,,,0.0,0.0,0.0,550221285674541,563268298617514
5,2111201,2,2,3850635,6,2,11,3,4.0,1.0,1,2,2.0,1.0,1.0,5.0,9.0,,,,,,,,,,,,,0.0,0.0,0.0,550232179523344,563281304029541
6,3304557,2,1,4963019,7,2,35,1,4.0,2.0,1,2,1.0,3.0,,,,5.0,5.0,2.0,1.0,,2.0,4.0,1047.0,1.0,12.0,12564.0,0.0,0.0,0.0,0.0,550243164030245,563276393161791
7,3304144,2,2,3407990,8,2,27,1,2.0,2.0,1,2,1.0,3.0,,,,5.0,8.0,2.0,1.0,,2.0,1.0,200.0,1.0,12.0,2400.0,0.0,0.0,0.0,0.0,550291325039937,56328516355295
8,2929909,2,3,1248550,9,1,10,3,4.0,2.0,1,2,1.0,1.0,1.0,5.0,7.0,,,,,,,,,,,,,0.0,0.0,0.0,550154893620742,563260098555306
9,2905156,1,3,1271681,10,2,21,1,4.0,2.0,1,2,1.0,1.0,1.0,7.0,3.0,,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550245784694107,563276153365714
10,1100304,2,3,2658122,11,1,5,3,4.0,1.0,1,2,2.0,1.0,1.0,5.0,2.0,,,,,,,,,,,,,0.0,0.0,0.0,550200303278996,563312882853453
11,3552502,2,2,3712211,12,2,40,1,4.0,2.0,1,2,1.0,3.0,,,,4.0,3.0,2.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550214017923654,563282046392612
12,3550308,2,1,5101918,13,2,0,3,1.0,1.0,1,2,2.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,550244309203512,563276393161791
13,1600303,2,1,4148669,14,2,7,4,1.0,1.0,1,2,2.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,55026259529011,563270632129414
14,1300805,2,3,1952764,15,2,7,3,4.0,1.0,1,1,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,954.0,0.0,0.0,550169158486378,563295958804522
15,2504009,2,2,69894,16,2,17,1,1.0,1.0,1,2,1.0,3.0,,,,5.0,8.0,1.0,1.0,,1.0,1.0,160.0,1.0,12.0,1920.0,50.0,0.0,100.0,0.0,550237564827186,563276393161791
16,4106803,1,3,1023544,17,2,62,1,1.0,1.0,2,2,1.0,3.0,,,,4.0,4.0,1.0,2.0,1.0,,1.0,0.0,2.0,,,0.0,1874.0,0.0,0.0,550242796207292,563276393161791
17,2203008,1,3,752314,18,2,65,1,2.0,1.0,1,2,1.0,3.0,,,,4.0,4.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,954.0,0.0,0.0,550248121456254,56327745453574
18,1702109,2,3,3479237,19,1,13,3,4.0,2.0,1,2,1.0,1.0,1.0,5.0,9.0,,,,,,,,,,,,,0.0,120.0,0.0,550266463744652,563268772952997
19,5002704,2,1,4549347,20,2,4,3,1.0,1.0,1,2,2.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,550253705407366,563278171698411
20,3304557,2,1,5040545,21,2,10,3,4.0,1.0,1,2,1.0,1.0,1.0,5.0,5.0,,,,,,,,,,,,,0.0,0.0,0.0,550243164030245,563276393161791
21,3522406,2,3,2565641,22,2,36,1,1.0,2.0,1,2,1.0,3.0,,,,4.0,4.0,1.0,2.0,1.0,,4.0,1300.0,1.0,12.0,15600.0,0.0,0.0,0.0,0.0,550149498313019,563312370855621
22,3550308,2,1,5175642,23,1,4,3,1.0,1.0,1,2,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,550244309203512,563276393161791
23,2805208,1,3,206870,24,1,19,1,4.0,1.0,1,2,1.0,1.0,1.0,7.0,1.0,,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,100.0,550245146328323,563273265962979
24,3300209,2,3,3227300,25,2,28,2,1.0,2.0,1,2,1.0,3.0,,,,13.0,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550298852021126,563266084946143
25,1503200,2,3,2410408,26,1,13,3,4.0,2.0,1,2,1.0,1.0,1.0,5.0,7.0,,,,,,,,,,,,,0.0,0.0,0.0,55013633240014,563276393161791
26,5220603,1,3,594592,27,2,32,1,4.0,2.0,1,2,1.0,3.0,,,,5.0,5.0,2.0,1.0,,2.0,1.0,300.0,1.0,12.0,3600.0,0.0,0.0,0.0,0.0,550245146328323,563277134775988
27,1200807,1,3,47406,28,1,6,3,4.0,2.0,1,2,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,550245146328323,563269482311756
28,2916807,1,3,1286696,29,1,9,3,1.0,1.0,1,1,2.0,1.0,1.0,5.0,4.0,,,,,,,,,,,,,0.0,0.0,0.0,550245784694107,563276153365714
29,2911709,2,3,3324889,30,2,67,1,1.0,2.0,2,2,1.0,3.0,,,,5.0,5.0,2.0,2.0,2.0,,,0.0,2.0,,,0.0,788.0,0.0,0.0,550295410213721,56328617215651
30,2616001,2,3,657988,31,1,31,2,4.0,1.0,1,2,1.0,3.0,,,,4.0,2.0,2.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550045346128523,563199735438525
31,2501401,1,3,708994,32,2,35,3,5.0,1.0,1,2,1.0,3.0,,,,8.0,3.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550245146328323,563276925444753
32,2602902,2,2,3829463,33,2,48,1,1.0,2.0,1,2,1.0,3.0,,,,4.0,4.0,1.0,1.0,,2.0,1.0,320.0,1.0,3.0,960.0,0.0,0.0,0.0,0.0,55023161269725,563286566101771
33,3301009,2,3,234609,34,2,63,1,1.0,1.0,1,2,1.0,3.0,,,,8.0,3.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550237185178733,563279261203205
34,2805505,2,3,1936145,35,1,17,3,4.0,1.0,1,2,1.0,1.0,1.0,7.0,3.0,,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550245146328323,563340413648347
35,2208403,2,3,2707328,36,2,10,5,4.0,1.0,1,2,1.0,1.0,1.0,5.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,550287681419773,563290063701777
36,5002704,2,1,4558567,37,1,62,1,4.0,2.0,2,2,1.0,3.0,,,,5.0,8.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550253705407366,563278171698411
37,2311405,2,3,531587,38,2,0,3,4.0,1.0,1,2,2.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,550245146328323,563287095216586
38,2408300,2,3,2273413,39,2,42,1,4.0,1.0,2,2,1.0,3.0,,,,5.0,8.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550304776620511,563296469451693
39,3109402,2,3,1337893,40,2,0,3,2.0,2.0,1,2,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,550410572300201,563276393161791
40,2611101,2,2,1356,41,2,36,1,1.0,2.0,1,2,1.0,3.0,,,,4.0,3.0,2.0,1.0,,2.0,1.0,650.0,1.0,12.0,7800.0,0.0,0.0,200.0,0.0,550254023381141,563270248202194
41,3550308,2,1,5288974,42,2,3,3,4.0,1.0,1,2,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,550244309203512,563276393161791
42,2401453,2,3,1849276,43,1,15,3,3.0,2.0,1,2,1.0,1.0,1.0,5.0,7.0,,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,150.0,0.0,550163446981918,563276393161791
43,3106705,2,2,4024953,44,1,13,3,4.0,1.0,1,2,1.0,1.0,1.0,10.0,,,,,,,,,,,,,,0.0,0.0,0.0,550234670736452,563280275149369
44,5002704,2,1,4562474,45,2,4,3,4.0,1.0,1,2,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,0.0,300.0,0.0,550253705407366,563278171698411
45,4115457,1,3,973807,46,1,11,3,1.0,1.0,1,2,1.0,1.0,1.0,5.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,550242796207292,563276393161791
46,3528502,2,3,2423430,47,1,0,3,1.0,2.0,1,2,2.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,550298852021126,563297226495124
47,3550308,2,1,5265169,48,2,64,10,1.0,2.0,1,2,1.0,3.0,,,,8.0,3.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,954.0,0.0,0.0,550244309203512,563276393161791
48,4305108,2,3,866574,49,2,3,3,1.0,1.0,1,2,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,550245146328323,563294311097645
49,2111300,2,1,4652426,50,2,38,1,2.0,2.0,1,2,1.0,3.0,,,,8.0,3.0,1.0,1.0,,2.0,1.0,400.0,1.0,6.0,2400.0,0.0,0.0,0.0,0.0,550242399603792,563278610112597
50,3548708,2,2,4033931,51,2,17,3,4.0,2.0,1,2,1.0,3.0,,,,8.0,3.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550265962315001,563268341956123
51,2930709,2,2,3509277,52,1,17,1,4.0,2.0,2,2,1.0,3.0,,,,8.0,1.0,2.0,1.0,,2.0,1.0,400.0,1.0,1.0,400.0,0.0,0.0,0.0,0.0,550224217069219,563284775391464
52,3304557,2,1,5027969,53,2,17,3,4.0,1.0,1,2,1.0,3.0,,,,5.0,5.0,2.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550243164030245,563276393161791
53,2615805,2,3,1920150,54,2,28,1,2.0,2.0,2,2,1.0,3.0,,,,5.0,5.0,2.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550089625332989,56333434737796
54,2929909,2,3,2646345,55,1,23,3,4.0,1.0,1,2,1.0,1.0,1.0,4.0,5.0,,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550154893620742,563260098555306
55,3519105,1,3,1058041,56,1,47,1,4.0,2.0,1,2,1.0,3.0,,,,4.0,3.0,2.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550245823183923,563275906954283
56,4128203,2,3,1796027,57,2,62,1,1.0,2.0,2,2,1.0,3.0,,,,8.0,3.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,1230.0,0.0,0.0,550245146328323,563246172551335
57,2927200,2,3,2398909,58,1,32,1,4.0,1.0,2,2,1.0,3.0,,,,5.0,6.0,2.0,1.0,,1.0,2.0,50.0,1.0,6.0,250.0,0.0,0.0,0.0,0.0,550245146328323,563276393161791
58,1200450,2,3,1695218,59,1,11,3,4.0,1.0,1,2,2.0,1.0,2.0,5.0,4.0,,,,,,,,,,,,,0.0,0.0,0.0,55015440222669,563340681172077
59,3119104,1,3,1500013,60,1,57,2,4.0,1.0,1,2,1.0,3.0,,,,5.0,8.0,1.0,1.0,,2.0,1.0,200.0,1.0,12.0,2400.0,0.0,0.0,0.0,0.0,550245606981622,563276229297209
60,2301109,2,3,2715277,61,1,39,2,4.0,1.0,1,2,1.0,3.0,,,,5.0,5.0,2.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550202952235496,563276393161791
61,5003702,2,3,3399995,62,1,12,10,5.0,1.0,1,2,1.0,1.0,1.0,5.0,4.0,,,,,,,,,,,,,0.0,0.0,0.0,550221488888058,563276393161791
62,1721000,2,1,3998534,63,2,30,1,2.0,2.0,2,2,1.0,3.0,,,,8.0,3.0,1.0,1.0,,2.0,1.0,880.0,1.0,12.0,8280.0,0.0,0.0,0.0,0.0,550233960645996,563280801361042
63,5108402,2,2,3968909,64,2,24,3,2.0,1.0,1,2,1.0,3.0,,,,13.0,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,55022244227565,563276393161791
64,2708303,2,3,1609510,65,1,8,10,4.0,2.0,1,2,2.0,1.0,1.0,5.0,5.0,,,,,,,,,,,,,0.0,0.0,0.0,550436717209549,563237512912957
65,3518800,2,2,4465581,66,2,77,1,1.0,2.0,1,2,1.0,3.0,,,,4.0,4.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,954.0,0.0,0.0,550249940651844,563272922987935
66,4304507,2,3,879227,67,2,20,3,1.0,1.0,1,2,1.0,1.0,2.0,13.0,,,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550166837792693,563246506730231
67,3548500,2,2,3237962,68,1,0,3,4.0,1.0,1,2,2.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,550191670392494,563256589220807
68,2602902,2,2,3823646,69,2,11,3,4.0,1.0,1,2,1.0,3.0,,,,6.0,8.0,2.0,,,,,,,,,,0.0,0.0,0.0,55023161269725,563286566101771
69,2910602,2,3,1727968,70,2,17,3,4.0,1.0,1,2,1.0,1.0,1.0,7.0,2.0,,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550334432042609,563276393161791
70,2610707,2,2,4139086,71,2,35,1,4.0,2.0,2,2,1.0,3.0,,,,8.0,3.0,1.0,1.0,,2.0,1.0,650.0,1.0,1.0,650.0,0.0,0.0,0.0,0.0,55023635434661,563268543252065
71,3303500,2,2,4418839,72,2,0,3,4.0,1.0,1,2,2.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,550245146328323,563276393161791
72,4303004,2,3,2250646,73,1,57,1,4.0,1.0,2,2,2.0,4.0,,,,,,,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550123491827106,563320986249862
73,5105622,1,3,428748,74,2,21,1,1.0,1.0,1,2,1.0,3.0,,,,8.0,3.0,1.0,2.0,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,550239929436026,56327734447365
74,5201108,2,3,3794476,75,2,1,3,4.0,1.0,1,2,2.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,550245146328323,563276393161791
75,4217709,1,2,263378,76,1,1,3,1.0,2.0,1,2,2.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,5502526707828,563277716385694
