Data,Valor
2015-12-01,38.3
2016-01-01,38.1
2016-02-01,38.2
2016-03-01,38.3
2016-04-01,38.5
2016-05-01,38.7
2016-06-01,38.6
2016-07-01,38.7
2016-08-01,38.4
2016-09-01,38.4
2016-10-01,38.5
2016-11-01,38.7
2016-12-01,39.0
2017-01-01,39.2
2017-02-01,39.2
2017-03-01,39.2
2017-04-01,39.5
2017-05-01,39.7
2017-06-01,39.7
2017-07-01,39.8
2017-08-01,40.0
2017-09-01,40.2
2017-10-01,40.1
2017-11-01,40.3
2017-12-01,40.2
2018-01-01,40.2
2018-02-01,40.2
2018-03-01,40.2
2018-04-01,40.4
2018-05-01,40.3
2018-06-01,40.2
2018-07-01,40.1
2018-08-01,40.3
2018-09-01,40.6
2018-10-01,40.7
2018-11-01,40.8
2018-12-01,40.7
2019-01-01,40.5
2019-02-01,40.3
2019-03-01,40.4
2019-04-01,40.5
2019-05-01,40.6
2019-06-01,40.8
2019-07-01,40.9
2019-08-01,41.0
2019-09-01,40.9
2019-10-01,40.8
2019-11-01,40.7
2019-12-01,40.6
2020-01-01,40.3
2020-02-01,40.2
2020-03-01,39.5
2020-04-01,38.3
2020-05-01,37.2
2020-06-01,36.5
2020-07-01,37.1
2020-08-01,37.6
2020-09-01,38.0
2020-10-01,38.4
2020-11-01,38.7
2020-12-01,39.0
2021-01-01,39.2
2021-02-01,39.1
2021-03-01,39.1
2021-04-01,39.3
2021-05-01,39.5
2021-06-01,40.0
2021-07-01,40.2
2021-08-01,40.6
2021-09-01,40.6
2021-10-01,40.7
2021-11-01,40.6
2021-12-01,40.7
2022-01-01,40.4
2022-02-01,40.2
2022-03-01,40.1
2022-04-01,40.1
2022-05-01,40.1
2022-06-01,40.0
2022-07-01,39.8
2022-08-01,39.7
2022-09-01,39.4
2022-10-01,39.1
2022-11-01,38.9
2022-12-01,38.8
2023-01-01,39.0
2023-02-01,38.9
2023-03-01,39.0
2023-04-01,38.9
2023-05-01,38.9
2023-06-01,39.2
2023-07-01,39.2
2023-08-01,39.1
2023-09-01,39.1
2023-10-01,39.1
2023-11-01,39.2
2023-12-01,39.1
2024-01-01,39.0
2024-02-01,38.7
2024-03-01,38.9
2024-04-01,38.7
2024-05-01,38.6
2024-06-01,38.6
2024-07-01,38.7
