Código do Município,Município,Estado,Região,Ano de Referência,Código do Prestador,Prestador,Sigla do Prestador,Abrangência,Tipo de serviço,Natureza jurídica,População total do município do ano de referência:,População total atendida com esgotamento sanitário
530010,Brasília,DF,Centro-Oeste,2022,53001000,Companhia de Saneamento Ambiental do Distrito Federal,CAESB,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"2.817.381,00",2.600.435
520010,Abadiânia,GO,Centro-Oeste,2022,52001011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Água e Esgoto,Autarquia,"17.232,00",14.115
520390,Buriti Alegre,GO,Centro-Oeste,2022,52039011,BURITI ALEGRE AMBIENTAL S.P.E -S/A,BAA,Local,Água e Esgoto,Empresa privada,"10.495,00",1.492
520450,Caldas Novas,GO,Centro-Oeste,2022,52045011,Departamento Municipal de Água e Esgoto,DEMAE,Local,Água e Esgoto,Autarquia,"98.622,00",54.168
520510,Catalão,GO,Centro-Oeste,2022,52051011,Superintendência Municipal de Água e Esgoto,SAE,Local,Água e Esgoto,Autarquia,"114.427,00",72.439
520547,Chapadão do Céu,GO,Centro-Oeste,2022,52054711,Sistema de Água e Esgoto de Chapadão do Céu,SANEACÉU,Local,Água e Esgoto,Autarquia,"12.870,00",12.870
521280,Mara Rosa,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"10.700,00",6.172
521250,Luziânia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"209.129,00",45.893
521225,Lagoa Santa,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"1.390,00",970
521220,Jussara,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"19.620,00",15.209
521210,Joviânia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"7.159,00",6.514
521190,Jataí,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"105.729,00",94.825
521180,Jaraguá,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"45.223,00",26.496
521150,Itumbiara,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"107.970,00",103.322
521140,Itauçu,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"7.736,00",5.943
521120,Itapuranga,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"26.113,00",21.620
521040,Itaberaí,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"44.734,00",23.449
521020,Iporá,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"35.684,00",23.209
521000,Inhumas,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"52.204,00",41.119
520920,Guapó,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"19.545,00",10.352
520910,Goiatuba,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"35.664,00",18.456
520890,Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"24.071,00",16.804
520880,Goianira,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"71.916,00",17.193
520870,Goiânia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"1.437.366,00",1.409.133
520860,Goianésia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"73.707,00",65.694
520800,Formosa,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"115.901,00",103.477
520740,Edéia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"11.747,00",10.723
