Código do Município,Município,Estado,Região,Ano de Referência,Código do Prestador,Prestador,Sigla do Prestador,Abrangência,Tipo de serviço,Natureza jurídica,POP_TOT - População total do município do ano de referência (Fonte: IBGE):,ES001 - População total atendida com esgotamento sanitário
530010,Brasília,DF,Centro-Oeste,2018,53001000,Companhia de Saneamento Ambiental do Distrito Federal,CAESB,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,2.974.703,2.655.814
520450,Caldas Novas,GO,Centro-Oeste,2018,52045011,Departamento Municipal de Água e Esgoto,DEMAE,Local,Água e Esgoto,Autarquia,89.087,71.000
520510,Catalão,GO,Centro-Oeste,2018,52051011,Superintendência Municipal de Água e Esgoto,SAE,Local,Água e Esgoto,Autarquia,106.618,62.903
520547,Chapadão do Céu,GO,Centro-Oeste,2018,52054711,Sistema de Água e Esgoto de Chapadão do Céu,SANEACÉU,Local,Água e Esgoto,Autarquia,9.842,7.598
521250,Luziânia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,205.023,38.795
521180,Jaraguá,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,49.667,12.949
521225,Lagoa Santa,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,1.555,962
521220,Jussara,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,18.587,10.474
521210,Joviânia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,7.372,6.263
521190,Jataí,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,99.674,91.750
520013,Acreúna,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,22.182,4.954
520005,Abadia de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,8.583,3.082
520025,Águas Lindas de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,207.070,39.433
520080,Alvorada do Norte,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,8.614,267
520110,Anápolis,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,381.970,203.896
520130,Anicuns,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,21.717,5.629
520140,Aparecida de Goiânia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,565.957,134.877
520145,Aparecida do Rio Doce,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,2.474,1.988
520215,Araguapaz,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,7.756,2.328
520250,Aruanã,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,9.635,4.058
